index,line_id_standard,audio_file_standard,text,text_length_standard,audio_duration_standard,line_id_dialect,audio_file_dialect,text_length_dialect,audio_duration_dialect,standard_file,dialect_file,dialect_order,audio_file
0,EN0021,som_00295_00472546698,This is a very common type of bow one showing mainly red and yellow with little or no green or blue,21,6.314666666666667,EN0021,scm_02484_00179021482,21,6.997333333333334,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,0_british_dialects_southern_scottish_male
1,EN0045,som_02121_01196358500,Charles thought he could save on the air fare by charging the shipping fees to his employer,17,5.802666666666667,EN0045,scm_08784_00847639219,17,7.850666666666666,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,1_british_dialects_southern_scottish_male
2,EN0017,som_07508_00613739369,The width of the coloured band increases as the size of the drops increases,14,5.12,EN0017,scm_03397_01177429514,14,6.058666666666666,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,2_british_dialects_southern_scottish_male
3,EN0008,som_08784_00843582177,Some have accepted it as a miracle without physical explanation,10,7.594666666666667,EN0008,scm_07508_00773820220,10,5.205333333333333,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,3_british_dialects_southern_scottish_male
4,EN0037,som_05223_01880831605,The value of a pleasure or pain considered by itself can be measured according to its intensity duration certainty and proximity,21,9.898666666666667,EN0037,scm_05223_01778209110,21,10.325333333333333,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,4_british_dialects_southern_scottish_male
5,EN0042,som_02436_00314868521,With all three components in place every village in Africa could enjoy its fair share of the blessings of civilization,20,8.106666666666667,EN0042,scm_09697_00102037093,20,6.826666666666667,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,5_british_dialects_southern_scottish_male
6,EN0010,som_07505_01813685033,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain,19,6.741333333333333,EN0010,scm_08784_01182196726,19,6.058666666666666,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,6_british_dialects_southern_scottish_male
7,EN0041,som_00712_02147472876,To avoid confusion these charts are updated at the conclusion of a tournament,13,5.376,EN0041,scm_08784_01459371349,13,5.632,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,7_british_dialects_southern_scottish_male
8,EN0046,som_06136_01022028714,Travelcard and Oyster card fares are managed by Transport for London,11,5.632,EN0046,scm_09697_01410220781,11,4.864,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,8_british_dialects_southern_scottish_male
9,EN0007,som_03034_00106523164,Throughout the centuries people have explained the rainbow in various ways,11,5.034666666666666,EN0007,scm_07049_01432036222,11,6.229333333333333,british_dialects_southern_male,british_dialects_scottish_male,standard-dialect,9_british_dialects_southern_scottish_male
