Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['collegial: A\nsweet: B\nhostile: B\nloving: B\ncold: A\namicable: A\nnice: B\nrude: B\nheartless: A\ncontentious: B']
1,80,49563,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['companionable: A\nhearty: B\nloving: B\nunfriendly: B\nsweet: B\nicy: A\nmortal: A\ncordial: A\nconflicting: A\nrude: B']
2,61,73219,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['affectionate: B\nmortal: B\nhostile: B\nunpleasant: B\nconflicting: B\ngenial: B\ncordial: B\nmerry: B\ncollegial: B\nunsympathetic: B']
3,21,22741,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['unsympathetic: A\ncompanionable: B\nicy: A\nfriendly: B\ncold: A\ncordial: B\nunfavorable: A\naffectionate: B\namicable: B\nopposed: A']
4,44,52406,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['antipathetic: A\nunfriendly: A\ngracious: B\ngenial: B\nheartless: A\nsweet: B\naffectionate: B\nnegative: A\nfriendly: B\nadverse: A']
5,82,71098,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['loving: A\ncold: B\nneighborly: A\namicable: A\nfriendly: A\nmilitant: B\nmortal: B\nunfavorable: B\nadverse: B\ngenial: A']
6,18,86908,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['hostile: B\nsweet: B\nadverse: A\nmerry: B\nhearty: B\nhospitable: B\nicy: A\ncontentious: B\ncompanionable: B\nmilitant: A']
7,54,26813,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['good-natured: B\nunsympathetic: B\namicable: B\nheartless: B\nchummy: A\ninhospitable: A\nhearty: A\nadverse: B\nrude: B\ncomradely: A']
8,8,3891,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['heartless: B\nconflicting: A\nsweet: B\ngood-natured: B\nunsympathetic: A\nwarm: B\nnice: B\nhostile: A\ncomradely: B\nicy: A']
9,47,37780,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['good-natured: B\nnegative: A\nwarm: B\nantagonistic: A\nunfavorable: A\nconflicting: A\ncordial: B\ncomradely: B\nmilitant: A\nchummy: B']
10,25,61690,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['affectionate: B\ngracious: A\nhearty: B\nwarmhearted: B\nrude: B\nheartless: A\nchummy: B\ninimical: A\nantipathetic: A\nconflicting: A']
11,36,43385,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['neighborly: B\namicable: B\nwarmhearted: B\nunpleasant: A\nmerry: A\nicy: A\nantagonistic: A\nconflicting: A\ncompanionable: B\nantipathetic: A']
12,101,32377,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['sweet: B\nunpleasant: B\nwarm: B\nconflicting: A\nnegative: A\nicy: A\ncompanionable: B\nheartless: A\ngenial: B\ngood-natured: B']
13,39,36434,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['militant: B\nhospitable: B\ninhospitable: B\nicy: B\nnegative: A\nnice: B\nunpleasant: A\nwarmhearted: B\ngood-natured: B\nloving: B']
