Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['collegial: Writer A\nsweet: Writer A\nhostile: Writer B\nloving: Writer A\ncold: Writer B\namicable: Writer A\nnice: Writer A\nrude: Writer B\nheartless: Writer B\ncontentious: Writer B']
1,80,49563,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['companionable: Writer A\nhearty: Writer A\nloving: Writer A\nunfriendly: Writer B\nsweet: Writer A\nicy: Writer B\nmortal: Writer A\ncordial: Writer A\nconflicting: Writer B\nrude: Writer B']
2,61,73219,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['affectionate: Writer B\nmortal: Writer A\nhostile: Writer A\nunpleasant: Writer A\nconflicting: Writer A\ngenial: Writer B\ncordial: Writer B\nmerry: Writer B\ncollegial: Writer B\nunsympathetic: Writer A']
3,21,22741,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['unsympathetic: Writer A\ncompanionable: Writer B\nicy: Writer A\nfriendly: Writer B\ncold: Writer A\ncordial: Writer B\nunfavorable: Writer A\naffectionate: Writer B\namicable: Writer B\nopposed: Writer A']
4,44,52406,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['antipathetic: A\nunfriendly: A\ngracious: B\ngenial: B\nheartless: A\nsweet: B\naffectionate: B\nnegative: A\nfriendly: B\nadverse: A']
5,82,71098,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['loving: Writer A\ncold: Writer B\nneighborly: Writer A\namicable: Writer A\nfriendly: Writer A\nmilitant: Writer B\nmortal: Writer B\nunfavorable: Writer B\nadverse: Writer B\ngenial: Writer A']
6,18,86908,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['hostile: A\nsweet: B\nadverse: A\nmerry: B\nhearty: B\nhospitable: B\nicy: A\ncontentious: A\ncompanionable: B\nmilitant: A']
7,54,26813,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['good-natured: A\nunsympathetic: B\namicable: A\nheartless: B\nchummy: A\ninhospitable: B\nhearty: A\nadverse: B\nrude: B\ncomradely: A']
8,8,3891,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['heartless: A\nconflicting: A\nsweet: B\ngood-natured: B\nunsympathetic: A\nwarm: B\nnice: B\nhostile: A\ncomradely: B\nicy: A']
9,47,37780,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['good-natured: Writer A\nnegative: Writer B\nwarm: Writer A\nantagonistic: Writer B\nunfavorable: Writer B\nconflicting: Writer B\ncordial: Writer A\ncomradely: Writer A\nmilitant: Writer B\nchummy: Writer A']
10,25,61690,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['affectionate: A\ngracious: A\nhearty: B\nwarmhearted: A\nrude: B\nheartless: B\nchummy: A\ninimical: B\nantipathetic: B\nconflicting: A']
11,36,43385,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['neighborly: Writer B\namicable: Writer A\nwarmhearted: Writer A\nunpleasant: Writer B\nmerry: Writer A\nicy: Writer B\nantagonistic: Writer B\nconflicting: Writer B\ncompanionable: Writer A\nantipathetic: Writer B']
12,101,32377,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['sweet: Writer A\nunpleasant: Writer B\nwarm: Writer A\nconflicting: Writer B\nnegative: Writer B\nicy: Writer B\ncompanionable: Writer A\nheartless: Writer B\ngenial: Writer A\ngood-natured: Writer A']
13,39,36434,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['militant: Writer A\nhospitable: Writer B\ninhospitable: Writer A\nicy: Writer A\nnegative: Writer A\nnice: Writer B\nunpleasant: Writer A\nwarmhearted: Writer B\ngood-natured: Writer B\nloving: Writer B']
14,98,62467,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['hearty: Writer A\nmerry: Writer B\nadverse: Writer A\nwarmhearted: Writer A\nopposed: Writer A\nunfavorable: Writer A\nheartless: Writer A\ngenial: Writer B\nwarm: Writer B\nmilitant: Writer A']
15,65,84470,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['amicable: Writer A\ncomradely: Writer A\nnegative: Writer B\nicy: Writer B\nantipathetic: Writer B\nsweet: Writer A\nantagonistic: Writer B\nnice: Writer A\naffectionate: Writer A\ninimical: Writer B']
16,77,13325,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['genial: A\nunfriendly: B\nhostile: B\ncold: B\namicable: A\nneighborly: A\nheartless: B\nantipathetic: B\nchummy: A\ncollegial: A']
17,32,62518,Writes in Alemannic German dialect.,Writes in standard German.,Ende entfernt,,als,[[]],standard,friendly,['merry: A\ncold: B\nnegative: A\nopposed: A\naffectionate: A\ngood-natured: A\ncomradely: A\nunfavorable: A\nhearty: B\nmilitant: A']
18,7,45200,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],dialect,friendly,['warm: B\nnice: B\nhospitable: A\nantipathetic: B\ncold: A\nunpleasant: B\nloving: A\nadverse: B\nicy: A\ngracious: A']
19,84,59721,Writes in Alemannic German dialect.,Writes in standard German.,1,,als,[[]],standard,friendly,['nice: A\nopposed: B\nloving: A\nunsympathetic: B\ncomradely: A\nantagonistic: B\ncompanionable: A\nhospitable: A\nicy: B\nadverse: B']
