index,line_id_standard,audio_file_standard,text,text_length_standard,audio_duration_standard,line_id_dialect,audio_file_dialect,text_length_dialect,audio_duration_dialect,standard_file,dialect_file,dialect_order,audio_file
0,EN0024,sof_05679_01002131848,She can scoop these things into three red bags and we will go and meet her on Thursday at the train station,22,8.448,EN0024,mif_02484_01184139609,22,6.656,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,0_british_dialects_southern_midlands_female
1,EN0011,sof_04415_02036024986,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky,21,6.314666666666667,EN0011,mif_03397_01555177697,21,7.850666666666666,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,1_british_dialects_southern_midlands_female
2,EN0019,sof_06592_00121979187,If the red of the second bow falls upon the green of the first the result is a bow with an abnormally wide yellow band,25,9.045333333333334,EN0019,mif_02484_01365841815,25,8.874666666666666,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,2_british_dialects_southern_midlands_female
3,EN0022,sof_07508_00253667648,Ask her to carefully bring these things with her from the store,12,5.376,EN0022,mif_03397_01414105037,12,6.912,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,3_british_dialects_southern_midlands_female
4,EN0013,sof_07049_01881470388,Aristotle thought that the rainbow was caused by reflection of the sun’s rays by the rain,16,6.144,EN0013,mif_03397_00786030980,16,7.850666666666666,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,4_british_dialects_southern_midlands_female
5,EN0014,sof_07060_02069324255,Since then physicists have found that it is not reflection but refraction by the raindrops which causes the rainbows,19,10.752,EN0014,mif_03397_00141632848,19,8.618666666666666,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,5_british_dialects_southern_midlands_female
6,EN0020,sof_03853_00831189603,The wide yellow band is wide since red and green light when mixed form yellow,15,5.546666666666667,EN0020,mif_02484_01863441514,15,7.253333333333333,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,6_british_dialects_southern_midlands_female
7,EN0031,sof_06592_00029374048,Nuclear fusion on a large scale in an explosion was first carried out in the Ivy Mike hydrogen bomb test,20,9.130666666666666,EN0031,mif_03397_00247245519,20,8.448,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,7_british_dialects_southern_midlands_female
8,EN0023,sof_07060_01152146696,Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob,20,6.912,EN0023,mif_03397_00323124543,20,8.448,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,8_british_dialects_southern_midlands_female
9,EN0015,sof_04766_01427955354,Many complicated ideas about the rainbow have been formed,9,5.12,EN0015,mif_02484_00455086313,9,4.864,british_dialects_southern_female,british_dialects_midlands_female,standard-dialect,9_british_dialects_southern_midlands_female
