index,line_id_standard,audio_file_standard,text,text_length_standard,audio_duration_standard,line_id_dialect,audio_file_dialect,text_length_dialect,audio_duration_dialect,standard_file,dialect_file,dialect_order,audio_file
0,EN0021,som_00295_00472546698,This is a very common type of bow one showing mainly red and yellow with little or no green or blue,21,6.314666666666667,EN0021,nom_09334_02054184290,21,6.741333333333333,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,0_british_dialects_southern_northern_male
1,EN0045,som_02121_01196358500,Charles thought he could save on the air fare by charging the shipping fees to his employer,17,5.802666666666667,EN0045,nom_05223_01796887291,17,7.082666666666666,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,1_british_dialects_southern_northern_male
2,EN0017,som_07508_00613739369,The width of the coloured band increases as the size of the drops increases,14,5.12,EN0017,nom_04310_00194389947,14,5.12,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,2_british_dialects_southern_northern_male
3,EN0008,som_08784_00843582177,Some have accepted it as a miracle without physical explanation,10,7.594666666666667,EN0008,nom_07508_01029294981,10,4.864,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,3_british_dialects_southern_northern_male
4,EN0037,som_05223_01880831605,The value of a pleasure or pain considered by itself can be measured according to its intensity duration certainty and proximity,21,9.898666666666667,EN0037,nom_06136_00938055283,21,9.301333333333334,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,4_british_dialects_southern_northern_male
5,EN0042,som_02436_00314868521,With all three components in place every village in Africa could enjoy its fair share of the blessings of civilization,20,8.106666666666667,EN0042,nom_01523_00715636293,20,7.082666666666666,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,5_british_dialects_southern_northern_male
6,EN0010,som_07505_01813685033,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain,19,6.741333333333333,EN0010,nom_02484_01133569901,19,10.837333333333333,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,6_british_dialects_southern_northern_male
7,EN0041,som_00712_02147472876,To avoid confusion these charts are updated at the conclusion of a tournament,13,5.376,EN0041,nom_09697_00313927714,13,4.949333333333334,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,7_british_dialects_southern_northern_male
8,EN0046,som_06136_01022028714,Travelcard and Oyster card fares are managed by Transport for London,11,5.632,EN0046,nom_08421_00322500426,11,4.352,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,8_british_dialects_southern_northern_male
9,EN0007,som_03034_00106523164,Throughout the centuries people have explained the rainbow in various ways,11,5.034666666666666,EN0007,nom_00610_00576231938,11,6.741333333333333,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,9_british_dialects_southern_northern_male
10,EN0023,som_06592_01543985084,Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob,20,7.253333333333333,EN0023,nom_02484_00269428826,20,9.984,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,10_british_dialects_southern_northern_male
11,EN0029,som_05679_01066208213,Mutually assured destruction is a doctrine of military strategy and national security policy,13,6.741333333333333,EN0029,nom_09697_00404369885,13,6.485333333333333,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,11_british_dialects_southern_northern_male
12,EN0006,som_02436_01399904657,When a man looks for something beyond his reach his friends say he is looking for the pot of gold at the end of the rainbow,26,7.850666666666666,EN0006,nom_01523_00882767205,26,6.485333333333333,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,12_british_dialects_southern_northern_male
13,EN0013,som_08784_01416863650,Aristotle thought that the rainbow was caused by reflection of the sun’s rays by the rain,16,7.936,EN0013,nom_02436_02121868509,16,8.704,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,13_british_dialects_southern_northern_male
14,EN0026,som_07049_01993860902,That quick beige fox jumped in the air over each thin dog,12,4.522666666666667,EN0026,nom_09697_00311566363,12,5.973333333333334,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,14_british_dialects_southern_northern_male
15,EN0001,som_03034_00402527197,When the sunlight strikes raindrops in the air they act as a prism and form a rainbow,17,6.314666666666667,EN0001,nom_00610_01050562100,17,8.362666666666666,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,15_british_dialects_southern_northern_male
16,EN0044,som_07508_00563755341,Trucks are causing more wear and tear per hour than anything else on roadways,14,5.12,EN0044,nom_09697_01102116349,14,6.485333333333333,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,16_british_dialects_southern_northern_male
17,EN0020,som_02436_01532865307,The wide yellow band is wide since red and green light when mixed form yellow,15,7.936,EN0020,nom_04310_01063319722,15,5.632,british_dialects_southern_male,british_dialects_northern_male,standard-dialect,17_british_dialects_southern_northern_male
