Unnamed: 0.1,Unnamed: 0,id,dialect,translation,Correct,Keep,language,concepts,writer_a,task,answer
0,2,30740,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['unfavorable: Writer A\ninhospitable: Writer B\ncontentious: Writer A\nadverse: Writer A\ncordial: Writer B\nwarmhearted: Writer B\nrude: Writer B\nwarm: Writer B\nmerry: Writer B\nnice: Writer B']
1,80,49563,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['warm: A\nloving: B\namicable: B\nsweet: B\ncold: A\nopposed: B\ncontentious: A\nnice: B\nadverse: A\nantipathetic: A']
2,61,73219,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['Conflicting: Writer A\nCompanionable: Writer B\nNice: Writer B\nAntagonistic: Writer A\nLoving: Writer B\nSweet: Writer B\nHeartless: Writer A\nMilitant: Writer A\nCold: Writer A\nWarm: Writer B']
3,21,22741,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['heartless: Writer A\ngenial: Writer B\nconflicting: Writer A\nhospitable: Writer B\ncollegial: Writer A\nfriendly: Writer B\nwarm: Writer A\nicy: Writer B\nunfriendly: Writer A\nrude: Writer A']
4,44,52406,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['Opposed: Writer A\nChummy: Writer B\nAffectionate: Writer B\nContentious: Writer A\nWarm: Writer B\nMortal: Writer A\nUnfriendly: Writer A\nCollegial: Writer A\nConflicting: Writer A\nHospitable: Writer B']
5,82,71098,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['mortal: A\nnice: B\nunsympathetic: A\nrude: A\ngood-natured: B\nloving: B\nwarmhearted: B\nunfriendly: A\nwarm: B\nnegative: A']
6,18,86908,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['loving: Writer A\ncollegial: Writer B\nheartless: Writer A\nmilitant: Writer A\ngood-natured: Writer A\nwarm: Writer A\ncompanionable: Writer B\nantipathetic: Writer A\nmortal: Writer B\ncold: Writer A']
7,54,26813,Writes in dialect German.,Writes in standard German.,1,,als,[[]],standard,friendly,['unpleasant: A\nchummy: B\nopposed: A\nsweet: B\ncollegial: A\nunfavorable: A\nantagonistic: A\namicable: B\nnice: B\nadverse: A']
8,8,3891,Writes in dialect German.,Writes in standard German.,1,,als,[[]],dialect,friendly,['antipathetic: Writer A\nunsympathetic: Writer A\nsweet: Writer B\nnice: Writer B\nrude: Writer A\naffectionate: Writer B\nchummy: Writer B\nconflicting: Writer A\nhospitable: Writer B\nadverse: Writer A']
9,47,37780,Writes in dialect German.,Writes in standard German.,Ende entfernt,,als,[[]],dialect,friendly,['friendly: Writer A\nadverse: Writer B\nhearty: Writer A\nantagonistic: Writer B\nicy: Writer A\nrude: Writer B\ngracious: Writer A\nneighborly: Writer A\nheartless: Writer B\nwarmhearted: Writer A']
